"COMPANY ID","COMPANY NAME","COMPANY FIRST YEAR","COMPANY FIRST YEAR QUALIFIER","COMPANY STATUS","RECORD LAST UPDATED"
1246,"Astipalea Shipping Corporation ENE",1982,"","","21/02/2018"
4590,"Hsu family group",1947,"","","21/02/2018"
11424,"AG Reederei Norden-Frisia",1908,"","","20/02/2018"
41519,"DNB Bank ASA",2002,"","","20/02/2018"
45557,"Chimbusco Pan Nation Shipping Company Limited",1992,"","","22/02/2018"
48898,"Zogiorgia Maritime Company",1993,"","","21/02/2018"
69680,"Central Star Marine Supplies Private Limited",1994,"","","22/02/2018"
69768,"Ionion Pelagos (Hellas) Shipping Company",1994,"","","21/02/2018"
97998,"Jet Tank S.A.",1997,"","","22/02/2018"
113261,"Nimmrich & Prahm Reederei GmbH & Company KG",1998,"","","21/02/2018"
221781,"Sea Bay Shipping Incorporated",2006,"","","21/02/2018"
231149,"Ianthe Transportation ENE",2006,"","","21/02/2018"
243236,"Atalanti Shipping Incorporated",2004,"","","21/02/2018"
243317,"Antiopi Shipping Incorporated",2004,"","","21/02/2018"
246486,"Antonios PS Maritime",2007,"","","21/02/2018"
251275,"Dynamic Shipping Enterprises Incorporated",2007,"","","20/02/2018"
260579,"Oras Denizcilik ve Ticaret Limited Sirketi (Oras Shipping & Trading Company Limited)",1997,"","","21/02/2018"
261203,"Ariadne II Transportation Corporation",2009,"","","21/02/2018"
263082,"Ianthe II Transportation Corporation",2009,"","","21/02/2018"
268930,"Ionian Cargo N.E.",2009,"B","","21/02/2018"
289566,"Brightoil Shipping Singapore Private Limited",2009,"","","22/02/2018"
302525,"Vakif Finansal Kiralama AS (Vakif Leasing)",1988,"","","21/02/2018"
302687,"Atlas Trampship Reederei  GmbH & Company UBC Ohio B.V.",2011,"","","21/02/2018"
307963,"Evergas Solvang Ethylene AS - SEE NOW AS EVERGAS AS",2011,"","","21/02/2018"
347523,"NM Tankers Private Limited",2012,"","","22/02/2018"
434044,"Ocean Product Tankers AS",2012,"","","22/02/2018"
492179,"Bergshav Product Tankers K/S",2006,"","","22/02/2018"
500550,"Anetos Maritime Limited",2018,"","","21/02/2018"
500552,"Nautilus Gas Tankers Incorporated",2015,"","","21/02/2018"
