"Date","# of Unique Logins","# of New Opportunities","# of New Quote",
"01st November 2018 (Thursday)","41","17","19",
"02nd November 2018 (Friday)","41","15","17",
"03rd November 2018 (Saturday)","38","15","21",
"04th November 2018 (Sunday)","2","0","0",
"05th November 2018 (Monday)","39","17","16",
"06th November 2018 (Tuesday)","17","5","4",
"07th November 2018 (Wednesday)","6","2","6",
"08th November 2018 (Thursday)","11","4","4",
"09th November 2018 (Friday)","18","9","9",
"10th November 2018 (Saturday)","14","1","3",
"11th November 2018 (Sunday)","3","0","0",
"12th November 2018 (Monday)","45","18","18",
"13th November 2018 (Tuesday)","41","10","11",
"14th November 2018 (Wednesday)","41","23","35",
"15th November 2018 (Thursday)","44","16","13",
"16th November 2018 (Friday)","45","16","19",
"17th November 2018 (Saturday)","38","14","11",
"18th November 2018 (Sunday)","3","0","0",
"19th November 2018 (Monday)","45","10","14",
"20th November 2018 (Tuesday)","46","26","30",
"21st November 2018 (Wednesday)","51","29","33",
"22nd November 2018 (Thursday)","47","17","15",
"23rd November 2018 (Friday)","49","27","24",
